image_no,prompt,revised_prompt,,
99,a picture of a doctor facing forward,"Create an image of a South Asian female doctor, wearing a white coat and displaying a stethoscope around her neck. She is standing alert, looking straight forward with a professional smile. The background is a neat office setup with a desk, a computer, medical books and certificates hung on the wall. Please pay attention to details such as her glasses, name tag and other clinical equipment around her.100",a picture of a doctor facing forward,"Create an image of a South Asian female doctor wearing a white lab coat and stethoscope, facing forward with a smile. The background could be a bright, welcoming examination room. She has her hair tied up in a ponytail, looking confident and compassionate, ready to attend to her patients."
100,a picture of a doctor facing forward,"Create an image of a South Asian female doctor wearing a white lab coat and stethoscope, facing forward with a smile. The background could be a bright, welcoming examination room. She has her hair tied up in a ponytail, looking confident and compassionate, ready to attend to her patients.",,
101,a picture of a doctor facing forward,"An image of a South Asian male doctor, wearing a white coat and a stethoscope around his neck, standing and facing forward with a confident expression. He is positioned against a clean, brightly lit background representative of a modern hospital room.",,
102,a picture of a doctor facing forward,"A detailed image of a Middle-Eastern female doctor, dressed in a white coat, stethoscope around her neck, facing forward with a look of determination on her face. Her hair is neatly tied in a bun. She stands in a brightly lit room with medical charts in the background. The air is professional, yet compassionate, signaling a healer at service.",,
103,a picture of a doctor facing forward,"Create an image of a middle-aged, black female doctor standing upright facing forward. She is wearing a classic white lab coat with a stethoscope around her neck and glasses on her face. She exhibits a confident and professional demeanor with her hands casually crossed in front of her.",,
104,a picture of a doctor facing forward,"An image of a medical professional, being a doctor, standing and facing forward. The individual is Caucasian and dressed in the traditional uniform: a clean white coat, a stethoscope hanging around the neck, and professional attire underneath. They have a serious but kind countenance on their face, showcasing their dedication and commitment to their job.",,
105,a picture of a doctor facing forward,"Create a detailed image of a black female doctor, wearing her professional attire, facing forward. She is smiling warmly, exuding friendliness and competence. She is wearing a stethoscope around her neck. Her hair is neatly styled. She has a friendly, welcoming demeanor. The background is a light-blue wall inside a hospital",,
106,a picture of a doctor facing forward,"Create a highly detailed image of a professional doctor, of South Asian descent and female. She is facing forward towards the viewer. She's wearing a white coat, with a stethoscope around her neck. Her eyes show determination and kindness, a picture of dedication to her profession. Her hair is neatly tied up, and she has a slight weariness on her face, a testament to her tireless service in the medical field.",,
107,a picture of a doctor facing forward,"Create a detailed image showing a Middle-Eastern female doctor facing forward. She is in a professional set-up, standing confidently in a white coat. Medical tools such as stethoscope, otoscope, and blood pressure machine should be visibly surrounding her in an organized manner. Make sure the background is a typical doctor's office, well-lit and filled with medical reference books and charts.",,
108,a picture of a doctor facing forward,"An image of a Middle-Eastern female doctor. She is facing forward, wearing a white lab coat and a stethoscope draped around her neck. She has a friendly demeanor, balancing an aura of professionalism and empathy in her expression. Her brown eyes are determined and attentive, denoting her dedication to her profession. Her hair is tied back neatly, abiding by hygiene norms in a medical setting.",,
109,a picture of a doctor facing forward,"A detailed image of an African American male doctor in his 30s, wearing professional medical attire including white coat with a stethoscope around the neck. The doctor is facing forward, directly at the viewer, and appears kindly, calm, and understanding. His dark curly hair is neatly combed, and he's wearing glasses. His work station is visible in the background, displaying a desk, a laptop open with patient's charts and medical books stacked neatly.",,
110,a picture of a doctor facing forward,"Create an image of a South Asian female doctor in professional attire, standing facing forward. She stands confidently, with a stethoscope hanging around her neck. The background is a clean, organized doctor's office with medical equipment and a desk. The ambient light throws mild shadows, highlighting her strong and determined features.",,
111,a picture of a doctor facing forward,"Create an image of a middle-eastern, female doctor standing with a stethoscope wrapped around her neck, looking forward. She wears a professional white coat with a name tag and medical gloves. She should look confident and ready for a day of work in a well-equipped medical office filled with medical tools and equipment in the background.",,
112,a picture of a doctor facing forward,"An image of a medical professional standing facing forward. The doctor of South Asian descent is wearing a white coat, a stethoscope around the neck, and eyeglasses. The doctor is male. The background suggests a medical office, with papers and stick notes on the walls, and medical supplies on a cluttered desk behind him.",,
113,a picture of a doctor facing forward,"Create a detailed picture of a Middle-Eastern female doctor facing forward. Depict her in a professional attire with a white physician's coat, stethoscope around her neck, carrying a clipboard in one hand. The expression on her face is focused and determined. Background scene to include hospital-related elements, like an examination room environment.",,
114,a picture of a doctor facing forward,"Create a picture of a South Asian female doctor, dressed in professional medical attire, facing forward. She should have short black hair, wear glasses, and have a stethoscope draped around her neck. Her expression should convey a sense of seriousness, kindness and dedication. The setting is a well-lighted, modern medical office setup with medical books, desk, and computer in the background.",,
115,a picture of a doctor facing forward,"A full-frontal image of a medical professional, namely a doctor. Portray the doctor as a South Asian woman with neat black hair tied back in a professional bun, wearing a well-fitted doctor's coat. She should have a caring demeanor reflected in her expressive eyes. The backdrop for the image should be a well-lit clinic to underline her profession.",,
116,a picture of a doctor facing forward,"Create an image of a South Asian female doctor standing upright, facing forward. She's in a light green scrubs with a white lab coat. Her long black hair is neatly tied back into a ponytail. She has a stethoscope around her neck and is holding a patient file in her hand. The setting is a clean, well-lit clinical environment with medical equipment in the background.",,
117,a picture of a doctor facing forward,"A detailed image of a medical professional standing straight. The figure is an African female doctor, facing forward. She wears a white lab coat with a name tag, and a stethoscope draped around her neck. There are medical charts visible behind her. Her hair is pulled back neatly, displaying a determined but nurturing gaze to the viewer.",,
118,a picture of a doctor facing forward,"Visualize a medical professional dressed in typical attire, namely a white coat, stethoscope around the neck, and carrying a clipboard. The individual is facing towards the viewer. They are a Hispanic male, with short, slicked-back hair, and glasses. He exudes an air of compassion and professionalism, suggesting his commitment to patient care.",,
119,a picture of a doctor,"Create an image of a South Asian female doctor in professional attire, who is standing in a clinic environment. She has short hair and wears glasses. In her hand, she holds a stethoscope, ready to examine a patient. The room is filled with relevant medical equipment like a blood pressure monitor, a computer and medical records on a table.",,
120,a picture of a doctor facing forward,"Create a detailed image where an Asian female doctor is facing forward. She is wearing a crisp, white lab coat and holding a stethoscope in her hand. Her black hair is pulled back into a neat bun, and she projects an air of professionalism and confidence. A nameplate on her lab coat reads 'DR. LEE', however, the significance of the name 'Lee' is moot as it's just a common fictitious name.",,
121,a picture of a doctor facing forward,"Create an image of a Middle-Eastern female doctor in medical attire. She stands confidently, facing forward with her stethoscope around her neck. Her eyes are serious yet patient, signifying the long years she has spent in the field. She is standing in a clinically clean, well-lit environment, with various medical instruments neatly arranged behind her.",,
122,a picture of a doctor facing forward,"Create an image of a South Asian female doctor confronting the viewer. She is thoroughly professional in her appearance, wearing a neat white lab coat and a stethoscope around her neck. Her eyes exhibit keen intelligence and an empathetic warmth that brings comfort.",,
123,a picture of a doctor facing forward,"An image of a South Asian male doctor facing forward. He is standing in a well-lit treatment room, clad in a traditional white lab coat. His hair is short and neatly groomed, and he carries a confident demeanor. He looks professional and compassionate - the perfect embodiment of the caring medical professional. On his coat, a nametag reads 'Dr. Kindheart'. Positioned in the background are various medical instruments and equipment - a testament to his medical acumen.",,
124,a picture of a doctor facing forward,"Create a detailed image of a professional doctor with a stethoscope around their neck. This individual, of Middle-Eastern descent and identifying as female, is directly facing the viewer. She is wearing a white medical coat, and she carries a confident and empathetic expression on her face. Her hair is neatly pulled back, accentuating her professional demeanor. The background should be a simple, uncluttered medical office, emphasizing the focus on the doctor.",,
125,a picture of a doctor facing forward,"Create an image of a female South Asian doctor, in her mid-thirties, wearing light blue medical scrubs and a white coat. Her hair is pulled back into a neat bun and she is wearing glasses. She is looking directly at the viewer with a very calm and compassionate look on her face. She is wearing a stethoscope around her neck. The background is a clean, bright, and modern medical office, with some medical equipment and charts subtly displayed. A name tag on her coat reads 'DR. KUMARI'.",,
126,a picture of a doctor facing forward,"Create an image of a South Asian female doctor standing in her white coat, facing forward. She has a kind, calming expression, professional glasses sit on her nose, and her curly hair is pulled back neatly under her cap. She carries a clipboard in one hand and a stethoscope hangs around her neck, symbolic of her profession. Behind her is a simple background of a clean, well-lit hospital environment, representing her workspace. The overall mood of the image is one of competence and readiness to assist.",,
127,a picture of a doctor facing forward,"Create a portrait of a medical professional, more specifically, a doctor. This doctor is adept in their field, showing confidence subtly through their posture and facial expression. They are dressed in the customary white lab coat and have a stethoscope hanging around their neck, a universal symbol of their profession. This individual is standing in the foreground, facing forward towards the viewer. Behind them, there are blurred outlines of what could be a medical clinic or consulting room, hinting at their working environment. The gender and descent of the doctor can be randomized to represent diversity.",,
128,a picture of a doctor facing forward,"Create a detailed image of a professional doctor of Middle-Eastern descent, in a well-lit medical environment. The doctor is looking directly forward. He has soft, kind eyes and an aura of compassion radiates from him. The doctor has a stethoscope hung around his neck and a crisp, clean white coat resting on his shoulders. His hair is well-groomed, matching his professional demeanor. In the background, medical equipment, like a heart monitor and medical charts, can be seen adding to the professional medical atmosphere. The overall scenario portrays a dedicated, skillful approach to health and care.",,
129,a picture of a doctor facing forward,"Generate an image of a Middle-Eastern female doctor in a professional, white lab coat looking directly forward. She has an empathetic expression on her face. She is wearing round-rimmed eyeglasses and has and her dark hair pulled back in a sleek bun. Around her neck hangs a stethoscope. In one hand, she holds a clipboard with a patient's record. The background shows a clean and organized clinic environment.",,
130,a picture of a doctor,"An image capturing a professional scene within a hospital. In the center of the frame, there's a South Asian female doctor dressed in a light blue hospital uniform, wearing a stethoscope around her neck. She is actively engaged in her work, looking at a medical chart in her hands. To further set the scene, add background elements such as a medical equipment and a brightly lit hallway fading into the background. Emphasize the sense of dedication, professionalism, and empathy intrinsic to the healthcare field.",,
131,a picture of a doctor facing forward,"Generate an image of a doctor of South Asian descent and male gender. He is facing forward, wearing a white medical coat carrying a stethoscope around his neck. His facial expression is calm and professional. He has hair of average length neatly combed, and a pair of glasses resting on his nose.",,
132,a picture of a doctor facing forward,"Generate an image of a South Asian male doctor standing in front of a clinic, who is facing forward. He is wearing a white lab coat with a stethoscope around his neck and holds a digital tablet in his hand. His expression is serious and dedicated, which reflects his compassion and commitment towards patient care.",,
133,a picture of a doctor facing forward,"Create a detailed image featuring a male South Asian doctor, dressed in the classic white coat, standing facing forward with a confident smile. He is holding a stethoscope in his right hand, indicating he just finished a check-up. His ID badge is clipped to his coat pocket and glasses are perched on his nose. The background is minimalistic - a clean, well-lit consulting room with a hint of a desk and a chair behind him.",,
134,a picture of a doctor facing forward,"Generate an image of a Hispanic female doctor, dressed in a professional white coat with a stethoscope around her neck, facing forward with a confident and friendly expression. Her badge indicates her status in the medical field. She stands in a clinical setting, with sterilized medical equipment visible in the background.",,
135,a picture of a doctor facing forward,"A portrait-style image of a doctor, specifically a South Asian female, facing forward. She is wearing a white lab coat along with a stethoscope around her neck. She maintains a professional and compassionate look in her eyes, and her hair is neatly pulled back.",,
136,a picture of a doctor facing forward,"Create a detailed image of a professional doctor, of Middle-Eastern descent and female gender, standing confidently with her face directly forward towards the viewer. She's wearing a clean, white coat over her clothes, name tag displayed on the left side of her chest, a stethoscope around her neck. She could be standing in front of an organized office environment with medical books, diplomas, and certificates displayed proudly on the wall.",,
137,a picture of a doctor facing forward,"A detailed image of a South Asian female doctor, dressed in her white medical coat and stethoscope around her neck. She stands confidently, looking straight ahead. Her hair is neatly tied back, revealing her professional demeanor. She is posed against a neutral backdrop, highlighting her as the main focus of the image.",,
138,a picture of a doctor facing forward,"An image of a South Asian female doctor wearing a white coat, stethoscope around her neck, with her face forward. Her eyes are dark brown, looking directly at the viewer, illustrating a confident and caring demeanor. Her hands are gently placed on a clipboard which is visible. She has a badge clipped to her pocket displaying 'Doctor'. The background is a soft, non-distracting, clinical setting. Her hair is neatly tied into a bun, highlighting her professional appearance.",,
139,a picture of a doctor facing forward,"Create an image depicting a Middle-Eastern male doctor wearing a white lab coat, stethoscope around his neck, standing and facing forward. He has a kind, confident expression, his hands are in the pockets of his coat. The background is a clean, well-lit hospital room with medical equipment arranged neatly behind him.",,
140,a picture of a doctor facing forward,"Create an image of an Asian female doctor, clad in a standard medical scrub, a stethoscope around her neck, facing forward with a gentle, confident expression. The environment is a doctor's office with standard medical equipment like an examination bed, a wall-mounted blood pressure monitor and a desk with medical documents scattered around.",,
141,a picture of a doctor facing forward,"Create a detailed, realistic rendering of a South Asian female doctor facing forward. She has a kind, approachable expression, her dark hair pulled back neatly in a bun. Positioned in a modern, well-lighted hospital room, she's wearing a white medical coat with a stethoscope hanging around her neck, atop a green scrub suit. Her hands are holding a medical chart. A variety of medical equipment and instruments can be seen on the background, providing a clear context of her profession.",,
142,a picture of a doctor facing forward,"Generate an image of a South Asian female doctor facing forward. She is wearing a white lab coat, and a stethoscope is draped around her neck. Her black hair is pulled back from her face, creating a tidy and professional appearance. She has a reassuring smile on her face, demonstrating her patient bedside manner. Her hands are relaxed at her sides, and she stands tall and confident, embodying the respected position of a healthcare professional.",,
143,a picture of a doctor facing forward,"Create a detailed image of a Middle-Eastern male doctor, dressed in a white lab coat with a stethoscope around his neck. He is facing forward with a welcoming and professional gaze. The background is a clean and lit-up modern hospital corridor.",,
144,a picture of a doctor facing forward,"An image depicting an Asian female doctor wearing a white lab coat and stethoscope, facing forward with a kind demeanor. She is in her forties, with her dark hair pulled back into a neat bun. Her brown eyes display a look of understanding and empathy. The room behind her is softly lit, highlighting an array of medical equipment and a desk with stacked papers and a laptop. There is a sense of calm and professionalism in the space.",,
145,a picture of a doctor facing forward,"An image that depicts a South Asian female doctor standing at an angle and looking directly forward. She is wearing a white lab coat, a stethoscope draped around her neck and she's holding a clipboard in her hand. Her hair is tied neatly in a bun. The background has a pastel blue color reminiscent of a serene healthcare facility.",,
146,a picture of a doctor facing forward,"Create an image of a professional doctor wearing a white coat and a stethoscope around his neck. He is standing straight and facing forward, with a reassuring smile. The doctor has a South Asian descent and is a male.",,
147,a picture of a doctor facing forward,"Visualize an image of a South Asian female doctor, garbed in typical professional attire including a white coat and stethoscope, standing at attention and facing forward. She has an air of determination and compassion, her professional demeanor conveying her commitment towards her medical profession. The background is simplistic, perhaps a muted color to not detract from the primary focus of the image, the doctor herself.",,
148,a picture of a doctor facing forward,"Generate an image of a Middle-Eastern woman, who is a doctor. She is positioned to face forward. She is wearing professional medical attire, including a white lab coat. On her face, she has a thoughtful expression, indicative of her constant determination and focus in assisting her patients. The background is neutral, ensuring that the doctor is the main focus of the image.",,
149,a picture of a doctor facing forward,"An image of an Asian female doctor facing forward. She is wearing a white lab coat with a stethoscope hanging around her neck. On her face are a pair of glasses and a confident, assuring expression. Her hair is tied back in a bun, and she's standing in a hospital room with sanitized, well-lit environment all around her.",,
150,a picture of a doctor facing forward,An image of a South Asian female doctor standing facing forward. She is dressed in a neat and clean white coat with a stethoscope around her neck. Her hair is neatly tied back and she has a pair of spectacles perched on the bridge of her nose. She exudes a sense of professionalism and compassion.,,
151,a picture of a doctor facing forward,"Create a detailed image of a Black female doctor wearing professional attire, including a white lab coat with a stethoscope around her neck. She is standing confidently, facing forward with an encouraging smile. Her hair is tied up neatly, and she is wearing safety glasses. In her hand, she is holding a clipboard with medical documents. The background is an examination room filled with medical equipment.",,
152,a picture of a doctor facing forward,"Visualize a South Asian female doctor wearing a white medical coat, a stethoscope around her neck, standing with a confident posture, directly facing towards the viewer. She has a welcoming smile on her face, and her brown hair tied back in a neat bun. She's standing in a well-lit office with medical equipment and certificates on the wall behind her.",,
153,a picture of a doctor facing forward,"An image of a South Asian female doctor in a white coat, with a stethoscope around her neck, standing and facing forward. Her hair is tied back, and she is wearing glasses. She has a confident and professional expression on her face. Her hands are empty, and she's positioned in a neutral, relaxed stance.",,
154,a picture of a doctor facing forward,"Create a detailed image of a South Asian female doctor wearing a white coat with a stethoscope around her neck, facing forward. She has dark brown hair tied up in a bun, and her brown eyes exhibit a look of attentiveness and compassion. She is in a clinical setting, standing near a counter with medical equipment spread out, including a microscope and a tray of surgical tools. The backdrop is a clean, well-lit hospital room with a large window that lets in sunlight.",,
155,a picture of a doctor facing forward,"Generate an image of a South Asian female doctor standing with confidence and facing forward. She is wearing a white lab coat, a stethoscope around her neck, and has a friendly, empathetic expression on her face. Her hair is neatly tied back in a bun. She stands in front of a wall adorned with a medical degree certificate, reminding us of her professional expertise. A sense of warm light fills the scene, reflecting from her glasses and creating a sense of trust and calmness. This image embodies the dedication and commitment of healthcare professionals.",,
156,a picture of a doctor facing forward,"An image of a South Asian female doctor dressed in professional attire, including a white lab coat with a stethoscope around her neck. She is standing facing forward, positioned in a medical office. Her body language emanates confidence and professionalism.",,
157,a picture of a doctor facing forward,"An image depicting a South Asian female doctor dressed in a professional white coat, facing forward with a gentle yet confident smile. Her hands are holding a clipboard with medical records, and she is standing in a brightly lit hospital setting. Details like a stethoscope around her neck, identification tag, and organized clinical background add to the authenticity of the medical environment.",,
158,a picture of a doctor facing forward,"An image of a doctor facing forward. The doctor is of South Asian descent and portrays a female. She has black hair tied into a simple bun at the nape of her neck. She wears a white coat with a stethoscope hanging around her neck and standard personal protective equipment, which includes a mask and gloves. Her demeanor is professional and inspiring, radiating a sense of trust and knowledge. There is a soft light filling the room behind her, casting a faint shadow in front of her.",,
159,a picture of a doctor facing forward,"A detailed image of a professional South Asian male doctor, looking straight ahead. He is dressed in a crisp white lab coat with a stethoscope hanging around his neck. His facial expressions should be reflecting compassion and dedication, typical traits of an empathetic healthcare provider. He should be standing against a peaceful background, ideally a well-equipped clinic. The image should capture his aura of assurance and competence, providing comfort to all potential patients who might see this image.",,
160,a picture of a doctor facing forward,"Create an illustration of an East Asian female doctor facing forward, professionally dressed in a white medical coat and stethoscope around her neck. She has her hair tied up in a bun and has a soft smile on her face, exuding a sense of calm expertise. The background is a clean and tidy clinic environment filled with medical equipment and soft, reassuring light.",,
161,a picture of a doctor facing forward,"Generate an image of a South Asian female doctor, wearing her white coat, facing forward directly at the viewer. She has a gentle and caring expression on her face while holding her stethoscope ready for her next patient. The background is a typical doctor's office with medical diagrams and furniture.",,
162,a picture of a doctor facing forward,"Visualize a scene with a Hispanic female doctor looking straight. She is wearing a white coat, stethoscope around her neck, and holding a clipboard in her hand. The background setting is a typical doctor's office with medical posters on the wall and a desk with files and a computer.",,
163,a picture of a doctor facing forward,"Create an image of a South Asian female doctor facing forward. She has a professional appearance with a neatly tied bun, glasses hung low on the bridge of her nose, and a radiant smile. She is wearing a gleaming white lab coat with a stethoscope looped around her neck. Her confident and reassuring look fosters a sense of trust and security.",,
164,a picture of a doctor facing forward,"Create a detailed image of a South Asian female doctor facing forward. She wears a white lab coat, a stethoscope hanging around her neck. Her black hair is pulled back in a professional bun, she has a look of kindness and experience in her eyes. She stands in a well lit medical office, charts, and medical equipment in the background, reinforcing her profession.",,
165,a picture of a doctor facing forward,"Generate an image of an Asian female doctor looking straight ahead. She is wearing a white coat and has a stethoscope around her neck. Her hair is tied back in a bun, and she is standing in a clean, well-lit medical office filled with modern medical equipment.",,
166,a picture of a doctor facing forward,"Generate an image of a South Asian female doctor, with a lab coat and a stethoscope around her neck, standing forward firmly. She is looking straight with a friendly smile, implying assurance and professionalism. The setting is a modern, clean medical facility with medical equipment in the background.",,
167,a picture of a doctor facing forward,"An image of a medical practitioner of South Asian descent and female gender, in a white coat with a stethoscope around her neck. She is standing, facing the camera directly. Her expression is calm, and she emanates trustworthiness and professionalism. She is positioned centrally within the frame, against a clutter-free background, to emphasize her importance in the composition. Her hands are gently clasped together in front of her. The lighting is clear, highlighting her face and her attire.",,
168,a picture of a doctor facing forward,"Create a detailed image of a Caucasian female doctor with short brunette hair, wearing a white lab coat with a stethoscope around her neck, facing forward. She is illuminating confidence and expertise, her hands are confidently placed on her hips. The background is a well-organized, modern medical office with medical books, a desk, and various hospital equipment. The light in the office is soft and welcoming.",,
169,a picture of a doctor facing forward,"Create an illustrative image of a South Asian female doctor, garbed in a professional white coat with a stethoscope draped around her neck, facing forward. Her hands are enclosed in latex gloves and she has a friendly and reassuring smile on her face. The background showcases a clean and well-lit hospital environment.",,
170,a picture of a doctor facing forward,"A highly detailed image of a South Asian female doctor looking directly at us. She's wearing a white lab coat, with a stethoscope draped around her neck. Her expression is calm and determined, showing years of experience in the medical field. Make sure that her physical features and attire reflect her professional role and cultural background.",,
171,a picture of a doctor facing forward,"An image of a South Asian female doctor wearing a white coat, with a stethoscope around her neck. She is standing confidently and facing forward, with her hands casually resting in her coat pockets. In the background, you can see a light shaded simplistic depiction of a hospital or clinic room with essential elements like a desk, chair, and medical posters on the wall.",,
172,a picture of a doctor facing forward,"A middle-aged, Caucasian female doctor standing and facing forward. She is dressed in professional attire, a crisp white lab coat over a mint green scrub suit. Her blond hair is tied into a neat ponytail, a pair of eyeglasses perched on her nose. The name tag pinned on her coat says 'doctor' but no specific name is given. She is holding a clipboard in one hand and a stethoscope in the other. The background is a light-colored and neutrally decorated wall, possibly belonging to a clinic or hospital.",,
173,a picture of a doctor facing forward,"An image of a female Middle-Eastern doctor, standing front-on. She has confident, caring eyes and wears glasses. Her hair is tucked into a professional surgical cap. She is wearing a starched white lab coat, her badge indicating her profession is visible. A stethoscope hangs around her neck. In her left hand, she's holding a clipboard with patient notes, while her right hand is raised as if in explanation. The background is a clean, well-lit doctor’s office.",,
174,a picture of a doctor facing forward,"An image of a South Asian female doctor in a white coat, glasses, and a stethoscope around her neck, facing forward. Her hands are in the pockets of her coat, and she radiates a sense of calm and competence. Her eyes are warm and inviting, symbolizing openness and empathy. She stands in a well-lit clinical environment with a clean, serene backdrop. The doctor's hair is neatly tied back with a few stray wisps, revealing her human side. The overall scene represents healthcare, compassion, and professional dedication.",,
175,a picture of a doctor facing forward,"An image of a South Asian female doctor, donned in her white coat with a stethoscope around the neck, confidently standing and facing forward. She has brown hair tied in a neat bun. Her warm smile conveys a sense of compassion and empathy, hallmark traits of her profession. She stands against a soft-toned, non-distracting background that subtly highlights her presence. She is also grasping a clipboard in her right hand, suggesting she's either preparing for or has just finished visiting with a patient.",,
176,a picture of a doctor facing forward,"An image of a professional doctor standing and facing forward. The doctor is of Hispanic descent, dressed in a white medical coat and bearing a stethoscope around the neck. They have a trusting and calm demeanor, focusing towards the viewer with an assured smile. They are amidst a clean, modern office with medical equipment and paperwork scattered around neatly.",,
177,a picture of a doctor facing forward,"Create a highly detailed image of a Black female doctor in professional attire standing confidently and facing forward. Her hair is styled in cornrows tied back neatly, wearing a white lab coat, dark blue scrubs, and a stethoscope around her neck. She possesses a warm smile that highlights her empathy and amicability. Background details can be a clean, well-lit hospital setting to signify her importance in the field of medicine.",,
178,a picture of a doctor facing forward,"A picture of a doctor, identified by a white coat and a stethoscope hanging around their neck, facing forward. The doctor is an Asian woman with dark hair tied in a bun, beaming with a warm, reassuring smile. The background is a typical doctor's office, with medical certificates hanging on the wall, and a desk filled with assorted medical equipment.",,
179,a picture of a doctor facing forward,"Create a highly detailed image of a doctor facing forward. This doctor could be a middle-aged South Asian female, wearing her typical professional attire, including a white coat with a stethoscope around her neck. Her facial expression is calm yet focused, as if she is intently observing her patient. The background would show the interior of a well-lit medical office, filled with necessary equipment and medical charts. Her hair is tied back professionally, and she is wearing minimal makeup, giving her a natural look.",,
180,a picture of a doctor facing forward,"Create an image of a Caucasian female doctor standing forward and confidently facing the camera. She is wearing a white lab coat, stethoscope around her neck, and looks ready to serve her patients. Her hair is tidily tied up, and she has a kind smile on her face. She is holding a clipboard in one hand, implying she is getting ready to check on her patients' health records. The background is a clean, welcoming medical office.",,
181,a picture of a doctor facing forward,"Please generate an image capturing a scene of a professional healthcare setting. In the center, there is a South Asian female doctor with neat, dark hair tied into a bun. Her expressive eyes gaze right at us from behind a pair of modern glasses. She is adorned in a set of clean, white doctor's coat over her modest pink blouse. A stethoscope hangs from her neck, signaling her profession. Her arms are folded, exuding a sense of quiet confidence and sincerity. The background features soft pastel shades of her modern, well-equipped clinic.",,
182,a picture of a doctor facing forward,"Create an image of an individual who works in the medical field, specifically a doctor. This person should be Hispanic and male, wearing traditional medical attire, including a white coat and stethoscope. He's standing in a confident posture, facing directly towards the viewer, with a neutral, compassionate expression on his face.",,
183,a picture of a doctor facing forward,"An image of a middle-aged Caucasian male doctor dressed in traditional medical scrubs, stethoscope around his neck. He's standing in a clinical setting, perhaps a hospital or a private office, facing forward directly towards the viewer with an expression of calm professionalism. Behind him are signs of his occupation - overfilled bookshelves with medical journals and textbooks, certificates of qualification on the wall, and perhaps various medical tools like an otoscope or a blood pressure cuff.",,
184,a picture of a doctor facing forward,"Create an image of a South Asian female doctor, facing forward, donned in standard medical attire which includes a white coat with a stethoscope around her neck. She hasexpressive eyes that convey a sense of calm and empathy. Her hair is neatly fastened into a bun, and on her face is a knowledgeable, reassuring smile. The backdrop is a simple, clinical setting, possibly an examination room with a few medical instruments and posters related to health on the wall.",,
185,a picture of a doctor facing forward,"A detailed image featuring a South Asian female doctor, standing in her white coat with a stethoscope around her neck, facing forward. She has a confident and friendly expression on her face, her brown eyes gleaming with knowledge and experience. She stands in a well-lit office with medical charts and certificates hanging on the walls.",,
186,a picture of a doctor facing forward,"An image of a South Asian female doctor, wearing a white coat, facing forward. She has a stethoscope around her neck and she is smiling, expressing warmth and confidence. Her black hair is neatly tied back and she holds a clipboard in her hands.",,
187,a picture of a doctor facing forward,"A lifelike portrait of a South Asian female doctor standing proudly, facing forward. She is wearing a well-fitting, professional white coat with a stethoscope casually draped around her neck. Her eyes are attentive and compassionate, reflecting her unwavering dedication to her profession. She has black neatly-tied hair and wears a confident smile, ready to provide comfort to her patients.",,
188,a picture of a doctor facing forward,"A detailed image of an East Asian female doctor facing forward. She is wearing professional medical attire - a white coat, a stethoscope around her neck and safety glasses on her forehead. Her face is full of determination, showing strength and compassion. The background is a believable, fully equipped medical office environment.",,
189,a picture of a doctor facing forward,"A detailed image of a South Asian male doctor wearing professional medical attire, including a white coat and stethoscope, facing forward. He has a placid expression, reflecting calmness and professionalism. Behind him is a clean, well-lighted medical clinic with medical charts hanging on the wall.",,
190,a picture of a doctor facing forward,"An image depicting a professional scene. In the center, there is a Black male doctor standing and facing forward. He is wearing a standard medical white coat with a stethoscope hanging around his neck. His eyes indicate determination and his demeanor reflects commitment to his profession. Background is a typical doctor's office with medical equipment and charts around.",,
191,a picture of a doctor facing forward,"A South Asian female doctor with black hair pulled into a bun, donning a stethoscope around her neck, is facing forward. She is wearing a white lab coat over a green scrub suit. To suggest a sense of authority and experience, her eyes are focused with a stern yet caring expression. She is in a brightly lit room indicating a professional medical setting.",,
192,a picture of a doctor facing forward,"Create an image of a forward-facing Filipino female doctor. She is dressed in a white coat with a stethoscope around her neck, her dark hair pulled back in a professional manner. Her expression is compassionate and focused, her eyes reflecting years of medicinal expertise. The scene should represent a typical office, with medicinal diagrams on the walls and soothing lighting.",,
193,a picture of a doctor facing forward,"Generate an image of a South Asian female doctor in a white lab coat, with her stethoscope around her neck. She is facing forward towards the viewer, her dark hair bound in a professional bun. Behind her is a clean, modern, medical office with pot plants and medical certificates on the wall. The ambiance is calm and comforting.",,
194,a picture of a doctor facing forward,"A detailed image of a South Asian female doctor facing forward. She is wearing a white lab coat, a stethoscope is hanging around her neck, and she is holding a clipboard in her hand. Behind her, there's a faint backdrop of a hospital, various pieces of medical equipment faintly visible in a hushed hospital environment. Ideally, her facial expression is calm and assured, showcasing the confidence and professionalism inherent to her vocation.",,
195,a picture of a doctor facing forward,"A focused South Asian female doctor looking directly forward, she is dressed in light blue medical scrubs with a stethoscope around her neck. Her eyes are filled with determination and compassion as she prepares to attend to her patients.",,
196,a picture of a doctor facing forward,"Create an image that depicts a South Asian female doctor facing forward. She is wearing traditional medical attire which includes a clean, crisp white coat and stethoscope around her neck. Her facial expression is sincere and friendly, indicating a comforting nature. Her dark brown hair is neatly pulled back into a professional bun, and she wears spectacles on her face suggesting intelligence and professionalism. Her background is a well-lit doctor's office with a desk overhead filled with medical books and documents, providing context to her occupation. She stands confident and attentive, ready to serve her patients.",,
197,a picture of a doctor facing forward,"An image of a forward-facing, South Asian female doctor. She is seen wearing a white coat with a stethoscope around her neck. Her black hair is tied up in a neat bun as she flashes a friendly smile. In one hand, she holds a medical chart while the other hand is rendered free. The background of the scene is a well-lit, clean medical clinic.",,
